episode: 45, reward: 285.39840801709096, avg: 239.17687133854676
episode: 46, reward: 262.7224505844051, avg: 239.67784110973523
episode: 47, reward: 247.9203758723192, avg: 239.84956058395574
episode: 48, reward: 221.7813332643683, avg: 239.48082125090295
episode: 49, reward: 245.63043088989286, avg: 239.60381344368272
episode: 50, reward: 288.9312785904632, avg: 240.57101864263925
episode: 51, reward: 292.8239032989135, avg: 241.57588180910605
episode: 52, reward: 292.5716109645587, avg: 242.53806537807682
episode: 53, reward: 264.74082348550763, avg: 242.9492275652515
episode: 54, reward: 287.68427211776753, avg: 243.76259201166087
episode: 55, reward: 246.76417111727088, avg: 243.81619163854677
episode: 56, reward: 250.87761220861924, avg: 243.94007620995157
episode: 57, reward: 251.4681737547457, avg: 244.06987099520663
episode: 58, reward: 297.85114797145127, avg: 244.9814180626006
episode: 59, reward: 225.356084897465, avg: 244.654329176515
episode: 60, reward: 267.8528339904646, avg: 245.03463253412073
episode: 61, reward: 280.5520889426955, avg: 245.607494734259
episode: 62, reward: 261.86031462439576, avg: 245.86547600235642
episode: 63, reward: 274.9600924180991, avg: 246.3200793838524
episode: 64, reward: 273.29134531706416, avg: 246.73502193667105
episode: 65, reward: 299.8705301448953, avg: 247.5401053943714
episode: 66, reward: 204.64990232541157, avg: 246.89995310976008
episode: 67, reward: 197.068460411704, avg: 246.16713704067104
episode: 68, reward: 118.98445638336523, avg: 244.32390978476806
episode: 69, reward: 225.96904718292438, avg: 244.06169746188456
episode: 70, reward: 263.28607362653815, avg: 244.33246332335858
episode: 71, reward: 216.81581177370825, avg: 243.9502876073912
episode: 72, reward: 269.35538314104673, avg: 244.29830261470156
episode: 73, reward: 271.06128499688816, avg: 244.65996453878515
episode: 74, reward: 291.7099183462887, avg: 245.28729725621855
episode: 75, reward: 270.68969861998335, avg: 245.62153937942597
episode: 76, reward: 246.28588280179, avg: 245.63016721608003
episode: 77, reward: 277.14419611186906, avg: 246.0341932275645
episode: 78, reward: 112.66186441953816, avg: 244.34593590088062
episode: 79, reward: 257.1999162749877, avg: 244.50661065555695
episode: 80, reward: 295.8071571608369, avg: 245.13995073586906
episode: 81, reward: 276.5212173672069, avg: 245.522649109422
episode: 82, reward: 197.7549819935875, avg: 244.94713504778542
episode: 83, reward: 259.74825829557835, avg: 245.12333889597343
episode: 84, reward: 207.07950270928507, avg: 244.67576435260065
episode: 85, reward: 306.45475632084606, avg: 245.39412472432446
episode: 86, reward: 235.47197031410292, avg: 245.28007697248282
episode: 87, reward: 198.74948056923765, avg: 244.7513201951732
episode: 88, reward: 238.5033016060179, avg: 244.68111773911528
episode: 89, reward: 290.4318571024537, avg: 245.1894592875968
episode: 90, reward: 273.2285838650695, avg: 245.49758153570087
episode: 91, reward: 228.42028800473182, avg: 245.31195877992945
episode: 92, reward: 281.6855515889164, avg: 245.70307268110136
episode: 93, reward: 287.2169558435063, avg: 246.14470973602053
episode: 94, reward: 246.21054221346515, avg: 246.14540270946733
episode: 95, reward: 294.4895557613212, avg: 246.6489876370908
episode: 96, reward: 308.8493505660717, avg: 247.29022849202875
episode: 97, reward: 233.83859416228418, avg: 247.1529669172354
episode: 98, reward: 275.9506591399627, avg: 247.44385269726297
episode: 99, reward: 228.60261353866034, avg: 247.25544030567693
episode: 100, reward: 229.77521520450685, avg: 246.55996028886162
